love,爱,ài,v.,妈妈，我爱你。,
妈妈，我爱你。,"Mom, I love you.",爱,ài,v.,love
like doing sth.,爱,ài,v.,我爱吃米饭。,
我爱吃米饭。,I love rice.,爱,ài,v.,like doing sth.
eight,八,bā,num.,他儿子今年八岁了。,
他儿子今年八岁了。,His son is eight years old this year.,八,bā,num.,eight
father; dad; daddy,爸爸,bàba,n.,我爸爸是医生。,
我爸爸是医生。,My dad is a doctor.,爸爸,bàba,n.,father; dad; daddy
cup; glass,杯子,bēizi,n.,杯子里有茶。,
杯子里有茶。,There is tea in the cup.,杯子,bēizi,n.,cup; glass
Beijing,北京,Běijīng,n.,我住在北京。,
我住在北京。,I live in Beijing.,北京,Běijīng,n.,Beijing
copy; issue (used for counting books and other bound items),本,běn,nm.,桌子上有一本书。,
桌子上有一本书。,There is a book on the table.,本,běn,nm.,copy; issue (used for counting books and other bound items)
notebook,本,běn,n.,请大家把作业本儿拿出来。,
请大家把作业本儿拿出来。,Please take out the homework book.,本,běn,n.,notebook
You’re welcome.,不客气,bú kèqi,n.,甲：谢谢你！乙：不客气。,
甲：谢谢你！乙：不客气。,A: Thank you! B: You're welcome.,不客气,bú kèqi,n.,You’re welcome.
not; no,不,bù,adv.,我不是学生。,
我不是学生。,Is ms lee chinese,不,bù,adv.,not; no
vegetable,菜,cài,n.,我去超市买点儿菜。,
我去超市买点儿菜。,I'll go to the supermarket and get some food.,菜,cài,n.,vegetable
dish,菜,cài,n.,今天我做了三个~。,
今天我做了三个~。,Today I made three ~.,菜,cài,n.,dish
tea (liquid drink/tea leaves),茶,chá,n.,请喝杯茶吧。,
请喝杯茶吧。,Please have a cup of tea.,茶,chá,n.,tea (liquid drink/tea leaves)
eat,吃,chī,v.,请吃点儿米饭。,
请吃点儿米饭。,Please have some rice.,吃,chī,v.,eat
taxi,出租车,chūzūchē,n.,我们坐出租车去火车站。,
我们坐出租车去火车站。,We take a taxi to the train station.,出租车,chūzūchē,n.,taxi
make a phone call,打电话,dǎ diànhuà,n.,他在打电话呢。,
他在打电话呢。,He's on the phone.,打电话,dǎ diànhuà,n.,make a phone call
big; large; huge; great,大,dà,adj.,这个苹果很大。,
这个苹果很大。,This apple is big.,大,dà,adj.,big; large; huge; great
of (marker of attributive),的,de,sa.,这是我的书。,
这是我的书。,This is my book.,的,de,sa.,of (marker of attributive)
expressing emphasis,的,de,sa.,我是坐飞机来中国的。,
我是坐飞机来中国的。,I came to China by plane.,的,de,sa.,expressing emphasis
indicating sb. or sth.,的,de,sa.,家里没吃的了，我们去买点儿吧。,
家里没吃的了，我们去买点儿吧。,"There is no food at home, let's go buy some.",的,de,sa.,indicating sb. or sth.
o’clock,点,diǎn,n.,现在是下午 3点20。,
现在是下午 3点20。,It is 3:20 pm.,点,diǎn,n.,o’clock
order,点,diǎn,v.,先生，请问您什么时候开始点菜？,
先生，请问您什么时候开始点菜？,"Sir, when do you start ordering?",点,diǎn,v.,order
light,点,diǎn,v.,你把火点着吧。,
你把火点着吧。,Light the fire.,点,diǎn,v.,light
computer,电脑,diànnǎo,n.,我买了个电脑。,
我买了个电脑。,I bought a computer.,电脑,diànnǎo,n.,computer
television,电视,diànshì,n.,妈妈在看电视。,
妈妈在看电视。,Mom is watching TV.,电视,diànshì,n.,television
motion picture; movie; film,电影,diànyǐng,n.,我喜欢看电影。,
我喜欢看电影。,I like to watch movies.,电影,diànyǐng,n.,motion picture; movie; film
thing; object,东西,dōngxi,n.,我在商店买了很多东西。,
我在商店买了很多东西。,I bought a lot of things in the store.,东西,dōngxi,n.,thing; object
all,都,dōu,adv.,我们都来了。,
我们都来了。,We're all here.,都,dōu,adv.,all
