love,爱,ài,v.,妈妈，我爱你。,,mā mā ， wǒ ài nǐ 。
妈妈，我爱你。,"Mom, I love you.",爱,ài,v.,love,mā mā ， wǒ ài nǐ 。
like doing sth.,爱,ài,v.,我爱吃米饭。,,wǒ ài chī mǐ fàn 。
我爱吃米饭。,I love rice.,爱,ài,v.,like doing sth.,wǒ ài chī mǐ fàn 。
eight,八,bā,num.,他儿子今年八岁了。,,tā ér zi jīn nián bā suì le 。
他儿子今年八岁了。,His son is eight years old this year.,八,bā,num.,eight,tā ér zi jīn nián bā suì le 。
father; dad; daddy,爸爸,bàba,n.,我爸爸是医生。,,wǒ bà bà shì yī shēng 。
我爸爸是医生。,My dad is a doctor.,爸爸,bàba,n.,father; dad; daddy,wǒ bà bà shì yī shēng 。
cup; glass,杯子,bēizi,n.,杯子里有茶。,,bēi zi lǐ yǒu chá 。
杯子里有茶。,There is tea in the cup.,杯子,bēizi,n.,cup; glass,bēi zi lǐ yǒu chá 。
Beijing,北京,Běijīng,n.,我住在北京。,,wǒ zhù zài běi jīng 。
我住在北京。,I live in Beijing.,北京,Běijīng,n.,Beijing,wǒ zhù zài běi jīng 。
copy; issue (used for counting books and other bound items),本,běn,nm.,桌子上有一本书。,,zhuō zi shàng yǒu yī běn shū 。
桌子上有一本书。,There is a book on the table.,本,běn,nm.,copy; issue (used for counting books and other bound items),zhuō zi shàng yǒu yī běn shū 。
notebook,本,běn,n.,请大家把作业本儿拿出来。,,qǐng dà jiā bǎ zuò yè běn ér ná chū lái 。
请大家把作业本儿拿出来。,Please take out the homework book.,本,běn,n.,notebook,qǐng dà jiā bǎ zuò yè běn ér ná chū lái 。
You’re welcome.,不客气,bú kèqi,n.,甲：谢谢你！乙：不客气。,,jiǎ ： xiè xiè nǐ ！ yǐ ： bú kè qì 。
甲：谢谢你！乙：不客气。,A: Thank you! B: You're welcome.,不客气,bú kèqi,n.,You’re welcome.,jiǎ ： xiè xiè nǐ ！ yǐ ： bú kè qì 。
not; no,不,bù,adv.,我不是学生。,,wǒ bú shì xué shēng 。
我不是学生。,I'm not a student,不,bù,adv.,not; no,wǒ bú shì xué shēng 。
vegetable,菜,cài,n.,我去超市买点儿菜。,,wǒ qù chāo shì mǎi diǎn ér cài 。
我去超市买点儿菜。,I'll go to the supermarket and get some food.,菜,cài,n.,vegetable,wǒ qù chāo shì mǎi diǎn ér cài 。
dish,菜,cài,n.,今天我做了三个~。,,jīn tiān wǒ zuò le sān gè ~。
今天我做了三个~。,Today I made three ~.,菜,cài,n.,dish,jīn tiān wǒ zuò le sān gè ~。
tea (liquid drink/tea leaves),茶,chá,n.,请喝杯茶吧。,,qǐng hē bēi chá ba 。
请喝杯茶吧。,Please have a cup of tea.,茶,chá,n.,tea (liquid drink/tea leaves),qǐng hē bēi chá ba 。
eat,吃,chī,v.,请吃点儿米饭。,,qǐng chī diǎn ér mǐ fàn 。
请吃点儿米饭。,Please have some rice.,吃,chī,v.,eat,qǐng chī diǎn ér mǐ fàn 。
