"序号
No.","词
Word","拼音
Pinyin","词类
Parts of Speech","词译文
Meaning of the Word","例句
Example"
1,【爱】,ài,v.,love,妈妈，我～你。
1,【爱】,ài,v.,like doing sth.,我～吃米饭。
2,【八】,bā,num.,eight,他儿子今年～岁了。
3,【爸爸】,bàba,n.,father; dad; daddy,我～是医生。
4,【杯子】,bēizi,n.,cup; glass,～里有茶。
5,【北京】,Běijīng,n.,Beijing,我住在～。
6,【本】,běn,nm.,"copy; issue (used for counting books and
other bound items)",桌子上有一～书。
6,【本】,běn,n.,notebook,请大家把作业～儿拿出来。
7,【不客气】,bú kèqi,n.,You’re welcome.,甲：谢谢你！乙：～。
8,【不】,bù,adv.,not; no,我～是学生。
9,【菜】,cài,n.,vegetable,我去超市买点儿～。
9,【菜】,cài,n.,dish,今天我做了三个~。
10,【茶】,chá,n.,tea (liquid drink/tea leaves),请喝杯～吧。
11,【吃】,chī,v.,eat,请～点儿米饭。
12,【出租车】,chūzūchē,n.,taxi,我们坐～去火车站。
13,【打电话】,dǎ diànhuà,n.,make a phone call,他在～呢。
14,【大】,dà,adj.,big; large; huge; great,这个苹果很～。
15,【的】,de,sa.,of (marker of attributive),这是我～书。
15,【的】,de,sa.,expressing emphasis,我是坐飞机来中国～。
15,【的】,de,sa.,indicating sb. or sth.,家里没吃～了，我们去买点儿吧。
16,【点】,diǎn,n.,o’clock,现在是下午 3～20。
16,【点】,diǎn,v.,order,先生，请问您什么时候开始～菜？
16,【点】,diǎn,v.,light,你把火～着吧。
17,【电脑】,diànnǎo,n.,computer,我买了个～。
18,【电视】,diànshì,n.,television,妈妈在看～。
19,【电影】,diànyǐng,n.,motion picture; movie; film,我喜欢看～。
20,【东西】,dōngxi,n.,thing; object,我在商店买了很多～。
21,【都】,dōu,adv.,all,我们～来了。
21,【都】,dōu,adv.,used to emphasize,我～快吃完了。
21,【都】,dōu,adv.,already,现在～三点了，我们快迟到了。
22,【读】,dú,v.,read,"你会～这个汉字吗？
你喜欢～书吗？"
23,【对不起】,duìbuqǐ,v.,I’m sorry.,甲：～。乙：没关系。
24,【多】,duō,adj.,a lot of,这里的人很～。
24,【多】,duō,adv.,"how (used in an interrogative sentence, expressing an inquiry of number or
degree)",你儿子～大了？
24,【多】,duō,adv.,"how (used before an adjective, indicating
exclamation)",他跑得～快啊！
