"序号
No.","词
Word","拼音
Pinyin","词类
Parts of Speech","词译文
Meaning of the Word","例句
Example","例句拼音
Sentence Pinyin"
1,【爱】,ài,v.,love,妈妈，我～你。,妈 妈 ， wǒ ài nǐ 。
1,【爱】,ài,v.,like doing sth.,我～吃米饭。,wǒ ài chī mǐ 饭 。
2,【八】,bā,num.,eight,他儿子今年～岁了。,tā 儿 子 今 nián bā suì le 。
3,【爸爸】,bàba,n.,father; dad; daddy,我～是医生。,wǒ 爸 爸 shì 医 生 。
4,【杯子】,bēizi,n.,cup; glass,～里有茶。,杯 子 lǐ yǒu chá 。
5,【北京】,Běijīng,n.,Beijing,我住在～。,wǒ zhù zài 北 京 。
6,【本】,běn,nm.,"copy; issue (used for counting books and
other bound items)",桌子上有一～书。,桌 子 shàng yǒu yī běn shū 。
6,【本】,běn,n.,notebook,请大家把作业～儿拿出来。,qǐng dà jiā bǎ 作 业 běn 儿 ná chū lái 。
7,【不客气】,bú kèqi,n.,You’re welcome.,甲：谢谢你！乙：～。,甲 ： 谢 谢 nǐ ！ 乙 ： bù 客 气 。
8,【不】,bù,adv.,not; no,我～是学生。,wǒ bù shì 学 生 。
9,【菜】,cài,n.,vegetable,我去超市买点儿～。,wǒ qù 超 市 mǎi diǎn 儿 cài 。
9,【菜】,cài,n.,dish,今天我做了三个~。,今 天 wǒ zuò le sān gè cài 。
10,【茶】,chá,n.,tea (liquid drink/tea leaves),请喝杯～吧。,qǐng hē 杯 chá ba 。
11,【吃】,chī,v.,eat,请～点儿米饭。,qǐng chī diǎn 儿 mǐ 饭 。
12,【出租车】,chūzūchē,n.,taxi,我们坐～去火车站。,wǒ 们 zuò chū 租 车 qù huǒ 车 zhàn 。
13,【打电话】,dǎ diànhuà,n.,make a phone call,他在～呢。,tā zài 打 电 话 ne 。
14,【大】,dà,adj.,big; large; huge; great,这个苹果很～。,这 gè 苹 果 hěn dà 。
15,【的】,de,sa.,of (marker of attributive),这是我～书。,这 shì wǒ de shū 。
15,【的】,de,sa.,expressing emphasis,我是坐飞机来中国～。,wǒ shì zuò 飞 机 lái 中 国 de 。
15,【的】,de,sa.,indicating sb. or sth.,家里没吃～了，我们去买点儿吧。,jiā lǐ 没 chī de le ， wǒ 们 qù mǎi diǎn 儿 ba 。
16,【点】,diǎn,n.,o’clock,现在是下午 3～20。,现 zài shì xià 午   3 diǎn 2 0 。
16,【点】,diǎn,v.,order,先生，请问您什么时候开始～菜？,xiān 生 ， qǐng wèn nín 什 么 时 候 kāi 始 diǎn cài ？
16,【点】,diǎn,v.,light,你把火～着吧。,nǐ bǎ huǒ diǎn zhe ba 。
17,【电脑】,diànnǎo,n.,computer,我买了个～。,wǒ mǎi le gè 电 脑 。
18,【电视】,diànshì,n.,television,妈妈在看～。,妈 妈 zài kàn 电 视 。
19,【电影】,diànyǐng,n.,motion picture; movie; film,我喜欢看～。,wǒ 喜 欢 kàn 电 影 。
20,【东西】,dōngxi,n.,thing; object,我在商店买了很多～。,wǒ zài 商 店 mǎi le hěn duō dōng xī 。
21,【都】,dōu,adv.,all,我们～来了。,wǒ 们 dōu lái le 。
21,【都】,dōu,adv.,used to emphasize,我～快吃完了。,wǒ dōu kuài chī wán le 。
21,【都】,dōu,adv.,already,现在～三点了，我们快迟到了。,现 zài dōu sān diǎn le ， wǒ 们 kuài 迟 dào le 。
22,【读】,dú,v.,read,"你会～这个汉字吗？
你喜欢～书吗？","nǐ huì dú 这 gè 汉 zì ma ？ 
 nǐ 喜 欢 dú shū ma ？"
23,【对不起】,duìbuqǐ,v.,I’m sorry.,甲：～。乙：没关系。,甲 ： duì bù 起 。 乙 ： 没 guān 系 。
24,【多】,duō,adj.,a lot of,这里的人很～。,这 lǐ de rén hěn duō 。
24,【多】,duō,adv.,"how (used in an interrogative sentence, expressing an inquiry of number or
degree)",你儿子～大了？,nǐ 儿 子 duō dà le ？
24,【多】,duō,adv.,"how (used before an adjective, indicating
exclamation)",他跑得～快啊！,tā 跑 de duō kuài a ！
25,【多少】,duōshao,pron.,how many; how much,你们学校有～学生？,nǐ 们 学 校 yǒu duō shǎo 学 生 ？
26,【儿子】,érzi,n.,son,我～三岁了。,wǒ 儿 子 sān suì le 。
27,【二】,èr,num.,two,现在十～点了。,现 zài shí èr diǎn le 。
28,【饭店】,fàndiàn,n.,"restaurant,eatery;(large) hotel",中午我们去～吃吧。,中 午 wǒ 们 qù 饭 店 chī ba 。
29,【飞机】,fēijī,n.,plane,我坐～去北京。,wǒ zuò 飞 机 qù 北 京 。
30,【分钟】,fēnzhōng,n.,minute,我想休息几～。,wǒ xiǎng 休 息 jǐ fēn 钟 。
31,【高兴】,gāoxìng,adj.,happy; glad; cheerful; pleased,今天我很～。,今 天 wǒ hěn gāo 兴 。
32,【个】,gè,nm.,"used with nouns without specific measure
words",我是一～学生。,wǒ shì yī gè 学 生 。
33,【工作】,gōngzuò,n.,job; work,我很喜欢现在的～。,wǒ hěn 喜 欢 现 zài de 工 作 。
33,【工作】,gōngzuò,v.,work,我在医院～。,wǒ zài 医 院 工 作 。
34,【汉语】,Hànyǔ,n.,Chinese language,他在学习～。,tā zài 学 习 汉 语 。
35,【好】,hǎo,adj.,good; nice; well; fine,今天天气很～。,今 天 天 气 hěn hǎo 。
35,【好】,hǎo,adj.,ok; please,你听我说，～吗？,nǐ tīng wǒ shuō ， hǎo ma ？
35,【好】,hǎo,adv.,very,你的衣服～漂亮啊！,nǐ de 衣 服 hǎo 漂 亮 a ！
36,【号】,hào,n.,date,今天是 2002 年 1 月 1～。,今 天 shì   2 0 0 2   nián   1   yuè   1 hào 。
36,【号】,hào,nm.,number,你的房间～是多少？,nǐ de 房 间 hào shì duō shǎo ？
37,【喝】,hē,v.,drink,我想～水。,wǒ xiǎng hē shuǐ 。
38,【和】,hé,conj.,and,爸爸～妈妈都在家。,爸 爸 hé 妈 妈 dōu zài jiā 。
38,【和】,hé,prep.,with,他～王先生说话呢。,tā hé 王 xiān 生 shuō 话 ne 。
39,【很】,hěn,adv.,very,李小姐～漂亮。,李 xiǎo 姐 hěn 漂 亮 。
40,【后面】,hòumiàn,n.,at the back; in the rear; behind,商店在学校～。,商 店 zài 学 校 后 面 。
40,【后面】,hòumiàn,n.,later; afterwards,关于这个问题，～我还会详细说。,guān 于 这 gè wèn tí ， 后 面 wǒ huán huì 详 细 shuō 。
41,【回】,huí,v.,go back,我八点～家。,wǒ bā diǎn huí jiā 。
41,【回】,huí,vm.,number of times,我去过一～北京。,wǒ qù guò yī huí 北 京 。
42,【会】,huì,aux.,can; be capable of,我～开车。,wǒ huì kāi 车 。
42,【会】,huì,v.,"used after a verb, resultative",我学～了汉语。,wǒ 学 huì le 汉 语 。
42,【会】,huì,aux.,may,明天是不～下雨的。,明 天 shì bù huì xià yǔ de 。
42,【会】,huì,n.,meeting,我们在开～。,wǒ 们 zài kāi huì 。
43,【几】,jǐ,pron.,how many,你有～个儿子？,nǐ yǒu jǐ gè 儿 子 ？
43,【几】,jǐ,pron.,express an indeterminate amount,我家里来了～个人。,wǒ jiā lǐ lái le jǐ gè rén 。
44,【家】,jiā,n.,home; family; household,我～在北京。,wǒ jiā zài 北 京 。
44,【家】,jiā,nm.,"used for families, restaurants, hotels or
companies",我哥哥开了一～公司。,wǒ 哥 哥 kāi le yī jiā 公 司 。
45,【叫】,jiào,v.,call(ed) (followed by a name),我的名字～李明。,wǒ de 名 zì jiào 李 明 。
46,【今天】,jīntiān,n.,today,我～去北京。,wǒ 今 天 qù 北 京 。
46,【今天】,jīntiān,n,now; at present,在～，过去的东西我们都不太理解了。,zài 今 天 ， guò qù de dōng xī wǒ 们 dōu bù tài 理 解 le 。
47,【九】,jiǔ,num.,nine,今天是八月～日。,今 天 shì bā yuè jiǔ rì 。
48,【开】,kāi,v.,drive,我～了三年出租车了。,wǒ kāi le sān nián chū 租 车 le 。
48,【开】,kāi,v.,open; found,我爸爸～了一个小公司。,wǒ 爸 爸 kāi le yī gè xiǎo 公 司 。
48,【开】,kāi,v.,open,请～门，让我进去。,qǐng kāi mén ， ràng wǒ jìn qù 。
48,【开】,kāi,v.,hold,我们学校在每年夏天～运动会。,wǒ 们 学 校 zài měi nián xià 天 kāi 运 动 huì 。
49,【看】,kàn,v.,look; watch,你～，那本书在桌子上呢。,nǐ kàn ， 那 běn shū zài 桌 子 shàng ne 。
49,【看】,kàn,v.,read; appreciate,我在～书呢。,wǒ zài kàn shū ne 。
50,【看见】,kànjiàn,v.,see,我没～他。,wǒ 没 kàn 见 tā 。
51,【块】,kuài,nm.,RMB Yuan,这本书三十～钱。,这 běn shū sān shí kuài qián 。
51,【块】,kuài,nm.,piece,来吃～西瓜吧。,lái chī kuài xī 瓜 ba 。
51,【块】,kuài,vm.,together,我跟朋友在一～儿呢。,wǒ gēn 朋 友 zài yī kuài 儿 ne 。
52,【来】,lái,v.,come,他是昨天～这儿的。,tā shì 昨 天 lái 这 儿 de 。
52,【来】,lái,v.,used to indicate some action,再～点儿水果，怎么样？,zài lái diǎn 儿 shuǐ 果 ， 怎 么 样 ？
53,【老师】,lǎoshī,n.,teacher,他就是我们的汉语～。,tā jiù shì wǒ 们 de 汉 语 lǎo 师 。
54,【了】,le,mp.,"used at the end of a senence to indicate
change in status",昨天下雨～。,昨 天 xià yǔ le 。
54,【了】,le,sa.,"used after a verb to indicate that the action
is in the past and has been completed",我吃～饭就去你那里。,wǒ chī le 饭 jiù qù nǐ 那 lǐ 。
55,【冷】,lěng,adj.,cold,今天太～了。,今 天 tài lěng le 。
56,【里】,lǐ,n.,interior; inside,我们都在学校～。,wǒ 们 dōu zài 学 校 lǐ 。
57,【零】,líng,num.,zero,今年是二～一二年。,今 nián shì èr líng yī èr nián 。
58,【六】,liù,num.,six,桌子上有～个杯子。,桌 子 shàng yǒu liù gè 杯 子 。
59,【妈妈】,māma,n.,mother; ma; mamma;mum,我～不在家。,wǒ 妈 妈 bù zài jiā 。
60,【吗】,ma,mp.,"used at the end of a sentence, indicating a
question",你是中国人～？,nǐ shì 中 国 rén ma ？
61,【买】,mǎi,v.,buy,我～了一些苹果。,wǒ mǎi le yī xiē 苹 果 。
62,【没关系】,méi guānxi,v.,That’s all right. You are welcome.,甲：对不起！乙：～。,甲 ： duì bù 起 ！ 乙 ： 没 guān 系 。
62,【没关系】,méi guānxi,v.,have no relation with,这件事，跟我～。,这 jiàn 事 ， gēn wǒ 没 guān 系 。
63,【没有】,méiyǒu,v.,"have nothing or nobody; can’t compare
with others","我家里～人。
我～他高。","wǒ jiā lǐ 没 yǒu rén 。 
 wǒ 没 yǒu tā gāo 。"
64,【米饭】,mǐfàn,n.,cooked rice,我爱吃～。,wǒ ài chī mǐ 饭 。
65,【明天】,míngtiān,n.,tomorrow,今天星期日，～是星期一。,今 天 星 期 rì ， 明 天 shì 星 期 yī 。
66,【名字】,míngzi,n.,name; title,我的～叫李明。,wǒ de 名 zì jiào 李 明 。
67,【哪】,nǎ,pron.,which ( used in front of a measure word),～个杯子是你的？,nǎ gè 杯 子 shì nǐ de ？
68,【哪儿】,nǎr,pron.,where,你家在～？,nǐ jiā zài nǎ 儿 ？
69,【那（那儿）】,nà（nàr）,pron.,that,我不认识～个人。,wǒ bù 认 识 那 （ 那 儿 ） gè rén 。
69,【那（那儿）】,nà（nàr）,pron.,there,我们的车在～。,wǒ 们 de 车 zài 那 （ 那 儿 ） 。
70,【呢】,ne,mp.,"used at the end of a sentence, indicating an
interrogative statement",你们家有几个人～？,nǐ 们 jiā yǒu jǐ gè rén ne ？
70,【呢】,ne,mp.,"used at the end of a sentence to indicate a
statement",我在睡觉～。,wǒ zài 睡 觉 ne 。
71,【能】,néng,aux.,can; may,我～坐在这儿吗？,wǒ néng zuò zài 这 儿 ma ？
72,【你】,nǐ,pron.,you,～认识这个人吗？,nǐ 认 识 这 gè rén ma ？
73,【年】,nián,n.,year,我在中国住了三～。,wǒ zài 中 国 zhù le sān nián 。
74,【女儿】,nǚ’ér,n.,daughter,我有两个～。,wǒ yǒu liǎng gè nǚ 儿 。
75,【朋友】,péngyou,n.,friend,他是我的好～。,tā shì wǒ de hǎo 朋 友 。
76,【漂亮】,piàoliang,adj.,good-looking; pretty; beautiful,你的衣服真～。,nǐ de 衣 服 zhēn 漂 亮 。
77,【苹果】,píngguǒ,n.,apple,你想不想吃个～？,nǐ xiǎng bù xiǎng chī gè 苹 果 ？
78,【七】,qī,num.,seven,一个星期有～天。,yī gè 星 期 yǒu qī 天 。
79,【钱】,qián,n.,money,一个苹果三块～。,yī gè 苹 果 sān kuài qián 。
80,【前面】,qiánmiàn,n.,before; in front; at the head; ahead,～那个人是我的同学。,前 面 那 gè rén shì wǒ de 同 学 。
81,【请】,qǐng,v.,please,～坐在椅子上。,qǐng zuò zài 椅 子 shàng 。
81,【请】,qǐng,v.,request; ask; invite; engage; hire,我去～老师帮忙。,wǒ qù qǐng lǎo 师 帮 máng 。
81,【请】,qǐng,v.,entertain; treat,他想～我吃饭。,tā xiǎng qǐng wǒ chī 饭 。
