Syllable,Tone,FullPinyin,Exists,Character(s),Meaning
gua,3,gua3,Yes,,few  / scant  / widowed; cut off the flesh as punishment
gua,4,gua4,Yes,,to hang; to suspend (from a hook etc)  / to hang up (the phone)  / (of a line) to be dead  / to be worried; to be concerned  / (dialect) to make a phone call  / to register (at a hospital); to make an appointment (with a doctor)  / (slang) to kill; to die; to be finished; to fail (an exam)  / classifier for sets or clusters of objects; (bound form) Chinese-style unlined garment; gown; divinatory diagram  / one of the eight divinatory trigrams of the Book of Changes 易經｜易经  / one of the sixty-four divinatory hexagrams of the Book of Changes 易經｜易经
guai,1,guai1,Yes,,"(of a child) obedient, well-behaved  / clever  / shrewd  / alert  / perverse  / contrary to reason  / irregular  / abnormal; to slap  / also pr. [guo2]"
guai,2,guai2,No,,
guai,3,guai3,Yes,,cane  / walking stick  / crutch  / old man&#039;s staff; to turn (a corner etc)  / to kidnap  / to swindle  / to misappropriate  / seven (used as a substitute for 七)  / variant of 枴｜拐; variant of 枴｜拐
guai,4,guai4,Yes,,bewildering  / odd  / strange  / uncanny  / devil  / monster  / to wonder at  / to blame  / quite  / rather; variant of 怪; decisive
guan,1,guan1,Yes,,"mountain pass  / to close; to shut; to turn off  / to confine; to lock (sb) up; to shut (sb in a room, a bird in a cage etc)  / to concern; to involve; government official  / governmental  / official  / public  / organ of the body  / CL: 個｜个; surname Guan"
guan,2,guan2,No,,
guan,3,guan3,Yes,,to take care (of)  / to control  / to manage  / to be in charge of  / to look after  / to run  / to care about  / tube  / pipe  / woodwind  / classifier for tube-shaped objects  / particle similar to 把 in 管...叫 constructions  / writing brush  / (coll.) to  / towards; variant of 管; surname Guan
guan,4,guan4,Yes,,accustomed to  / used to  / indulge  / to spoil (a child); can  / jar  / pot; to irrigate  / to pour  / to install (software)  / to record (music)
guang,1,guang1,Yes,,light; ray (CL:道)  / bright; shiny  / only; merely  / used up; finished  / to leave (a part of the body) uncovered; sparkling water; used in 膀胱
guang,2,guang2,No,,
guang,3,guang3,Yes,,wide  / numerous  / to spread; surname Guang; rough  / uncouth  / boorish
guang,4,guang4,Yes,,to stroll  / to visit; woven wood and bamboo utensil  / classifier for threads and strings
gui,1,gui1,Yes,,to return  / to go back to  / to give back to  / (of a responsibility) to be taken care of by  / to belong to  / to gather together  / (used between two identical verbs) despite  / to marry (of a woman) (old)  / division on the abacus with a one-digit divisor; tortoise; turtle  / (coll.) cuckold; silicon (chemistry)
gui,2,gui2,No,,
gui,3,gui3,Yes,,disembodied spirit; ghost; devil  / (suffix) person with a certain vice or addiction etc  / sly; crafty; resourceful (variant of 詭｜诡)  / one of the 28 constellations of ancient Chinese astronomy; (bound form) sly; crafty  / (literary) weird; bizarre  / (literary) contradictory; inconsistent; ancient bronze food vessel with a round mouth and two or four handles  / round basket of bamboo
gui,4,gui4,Yes,,expensive  / (bound form) highly valued; precious  / (bound form) noble; of high rank  / (prefix) (honorific) your; to kneel; abbr. for Guizhou Province 貴州｜贵州
gun,1,gun1,No,,
gun,2,gun2,No,,
gun,3,gun3,Yes,,to boil  / to roll  / to take a hike  / Get lost!; radical in Chinese characters (Kangxi radical 2); roller
gun,4,gun4,Yes,,stick; rod; truncheon  / scoundrel; villain
guo,1,guo1,Yes,,"pot; pan; wok; cauldron  / pot-shaped thing  / CL: 口, 隻｜只; surname Guo; name of a river"
guo,2,guo2,Yes,,country; nation; state  / (bound form) national; surname Guo; old variant of 國｜国
guo,3,guo3,Yes,,to wrap around  / bundle; parcel; package  / to press into service; to pressgang; to make off with (sth); fruit  / result  / resolute  / indeed  / if really; rice cake (typically made with glutinous rice flour and steamed)
guo,4,guo4,Yes,,to cross  / to go over  / to pass (time)  / to celebrate (a holiday)  / to live  / to get along  / excessively  / too-
ha,1,ha1,Yes,,"abbr. for 哈薩克斯坦｜哈萨克斯坦, Kazakhstan  / abbr. for 哈爾濱｜哈尔滨, Harbin; (interj.) ha!  / (onom. for laughter)  / (slang) to be infatuated with; to adore  / (bound form) husky (dog) (abbr. for 哈士奇); hafnium (chemistry)"
ha,2,ha2,Yes,,used in 蝦蟆｜虾蟆; used in 蛤蟆
ha,3,ha3,Yes,,a Pekinese; a pug  / (dialect) to scold
ha,4,ha4,No,,
hai,1,hai1,Yes,,"oh alas  / hey!  / hi! (loanword)  / a high (natural or drug-induced) (loanword); sound of sighing  / (interjection expressing surprise, sorrow, regret, disappointment etc) oh  / damn  / wow; (interj.)  / happy  / sound of laughter"
hai,2,hai2,Yes,,still  / still in progress  / still more  / yet  / even more  / in addition  / fairly  / passably (good)  / as early as  / even  / also  / else; bones of the body; (bound form) child
hai,3,hai3,Yes,,"ocean  / sea  / CL: 個｜个, 片 / great number of people or things  / (dialect) numerous; surname Hai; hydroxylamine (chemistry)"
hai,4,hai4,Yes,,"to do harm to  / to cause trouble to  / harm  / evil  / calamity; helium (chemistry); 12th earthly branch: 9-11 p.m., 10th solar month (7th November-6th December), year of the Boar  / ancient Chinese compass point: 330°"
han,1,han1,Yes,,silly  / simple-minded  / foolish  / naive  / sturdy  / tough  / heavy (of rope); intoxicated; snore  / to snore
han,2,han2,Yes,,to keep in the mouth  / to contain; envelope  / case  / letter; to contain  / to include  / culvert
han,3,han3,Yes,,"to yell  / to shout  / to call out for (a person); &quot;cliff&quot; radical in Chinese characters (Kangxi radical 27), occurring in 原, 历, 压 etc; Nasturtium montanum"
han,4,han4,Yes,,"perspiration  / sweat  / CL: 滴, 頭｜头, 身 / to be speechless (out of helplessness, embarrassment etc) (Internet slang used as an interjection); to weld  / to solder; drought"
hang,1,hang1,Yes,,"to ram; to tamp  / a rammer; a tamper  / variant of ㄏㄤ[hang1]; (Tw) (slang) popular; hot (from Taiwanese 烘, Tai-lo pr. [hang])"
hang,2,hang2,Yes,,"(bound form) row; line  / (bound form) line of business; trade; profession  / (bound form) commercial firm  / (bound form) to rank (first, second etc) among one&#039;s siblings (by age)  / (in data tables) row; (Tw) column  / classifier for rows or lines; boat  / ship  / craft  / to navigate  / to sail  / to fly; surname Hang  / abbr. for Hangzhou 杭州"
hang,3,hang3,No,,
hang,4,hang4,Yes,,a ferry  / fog  / flowing
