Syllable,Tone,FullPinyin,Exists,Character(s),Meaning
a,1,a1,Yes,啊,"interjection of surprise  / Ah!  / Oh!; abbr. for country names that begin with 阿: Algeria 阿爾及利亞｜阿尔及利亚, Afghanistan 阿富汗 etc; prefix used before monosyllabic names, kinship terms etc to indicate familiarity  / used in transliteration  / also pr. [a4]"
a,2,a2,Yes,啊,interjection expressing doubt or requiring answer  / Eh?  / what?; variant of 啊
a,3,a3,Yes,啊,"interjection of surprise or doubt  / Eh?  / My!  / what&#039;s up?; 51st year A3 of the 60 year cycle, e.g. 1974 or 2034"
a,4,a4,Yes,啊,"interjection or grunt of agreement  / uhm  / Ah, OK  / expression of recognition  / Oh, it&#039;s you!; book format, similar to in-4°, in-8° etc (a 16-kai format 16開｜16开 is roughly A4) (abbr. to 開｜开)"
ai,1,ai1,Yes,哎,hey!  / (interjection used to attract attention or to express surprise or disapprobation); in order; in sequence  / close to; adjacent to; abbr. for Egypt 埃及 or Ethiopia 埃塞俄比亞｜埃塞俄比亚
ai,2,ai2,Yes,挨,to suffer; to endure  / to pull through (hard times)  / to delay; to stall; to play for time; to dawdle; cancer; (esp.) carcinoma; (literary) white as snow
ai,3,ai3,Yes,矮,"(of a person) short  / (of a wall etc) low  / (of rank) inferior (to); lower (than); (Tw) (literary) to rebuke loudly  / (Tw) (literary) to sigh  / used in 欸乃; see historical character Lao Ai 嫪毐  / by extension, person of reprehensible morals  / immoral  / adulterer"
ai,4,ai4,Yes,爱,to love; to be fond of; to like  / affection  / to be inclined (to do sth); to tend to (happen); alas  / oh dear; surname Ai
an,1,an1,Yes,安,(bound form) calm; peaceful  / to calm; to set at ease  / safe; secure; in good health  / content; satisfied (as in 安於｜安于)  / to place (sb) in a suitable position (job)  / to install; to fix; to fit  / to bring (a charge against sb)  / to harbor (certain intentions)  / ampere (abbr. for 安培); surname An; (bound form) saddle
an,2,an2,Yes,啽,to speak (Cantonese)
an,3,an3,Yes,铵,ammonium; (interjection) oh!  / (dialect) to stuff sth in one&#039;s mouth  / (used in buddhist transliterations) om; hole in the ground to plant seeds in  / to make a hole for seeds  / to dibble
