English,Chinese_Simplified
"hello everyone","大家好"
"good morning","早上好"
"I'm good","我很好"
"how are you","你好吗"
"long time no see","好久不见"
"thank you","谢谢你"
"you are welcome","不客气"
"sorry","对不起"
"it's ok","没关系"
"goodbye","再见"
"see you tomorrow","明天见"
"may I ask","请问"
"can you help me","能帮我一下吗"
"do you know","你知道吗"
"where is the toilet","哪里有厕所"
"how do you say this","这个怎么说"
"what are you doing","你在做什么"
"what is this","这是什么"
"can I borrow this","可以借我一下吗"
"I don't understand","我不明白"
"can I eat this","我可以吃这个吗"
"can you speak English","你会说英语吗"
"yes","是的"
"no","不是"
"no problem","没问题"
"of course","当然"
"I agree","我同意"
"I don't like it","我不喜欢"
"I like it","我喜欢"
"very good","很好"
"awesome","太棒了"
"I got it","我知道了"
"I'm tired","我累了"
"really","真的吗"
"nothing's wrong","没事"
"how's today","今天怎么样"
"have you eaten","吃了吗"
"me too","我也一样"
"I'm hungry","我饿了"
"I'm thirsty","我渴了"
"it's really Delicious","真好吃"
"where are you going","你去哪"
"I'm busy","我很忙"
"I'm not free","我没空"
"are you busy","你忙不忙"
"what's up","什么事"
"what's wrong","怎么了"
"it's so hot","太热了"
"It's so cold","太冷了"
"that's Amazing","好厉害"
"so funny","好好笑"
"I'm shocked","我震惊了"
"that's Unbelievable","真不敢相信"
"That's so cool","太酷了"
"no way","不会吧"
"wow","哇塞"
"see you next time","下次见"
"catch you later","回头见"
"bye","拜拜"
"take care","保重"
"good luck","祝你好运"
"see you in a bit","一会见"
"have a nice day","祝你今天愉快"
"do you like this","你喜欢这个吗"
"what do you like to eat","你喜欢吃什么"
"what's your favorite Color","你喜欢什么颜色"
"what do you think","你怎么看"
"how do you feel about it","你觉得怎么样"
"do you want it","你要不要"
"which one do you want","你要哪一个"
"which one do you recommend","你推荐哪一个"
"what time is it","现在几点"
"what day is it today","今天星期几"
"what date is it today","今天几号"
"what time will arrive","你几点到"
"when shall we meet","我们什么时候见面"
"she is Cool","她很酷"
"he is handsome","他很帅"
"she is beautiful","她很漂亮"
"he is lazy","他很懒"
"this looks good","这个好看"
"it's expensive","很贵"
"this is cheap","这个很便宜"
"this is too small","这个太小了"
"that is too big","那个太大了"
"so so","一般般"
"it's all right","还行吧"
"I think it's good","我觉得不错"
"not that great","不太好"
"a little bit","有点"
"I think this is awesome","我觉得这个很棒"
"do you have any plans today","你今天有什么计划"
"let's go have fun","我们去玩吧"
"what do you want to do","你想做什么"
"I'm free today","我今天有空"
"let's go together","一起去吧"
"I'm waiting for you","我在等你"
"what are we doing today","今天我们做什么"
"you're awesome","你真棒"
"you did a great job","你做得很好"
"you are smart","你很聪明"
"you are talented","你很有天赋"
"congratulations","恭喜恭喜"
"I am American","我是美国人"
"I am British","我是英国人"
"I am an engineer","我是工程师"
"I am a teacher","我是老师"
"I'm an accountant","我是会计"
"I'm at home","我在家"
"I'm at the company","我在公司"
"I am in the Supermarket","我在超市"
"I am in China","我在中国"
"I am cooking","我在做饭"
"I'm working","我在工作"
"I am shopping","我在买东西"
"I am studying","我在学习"
"What's your name?","你叫什么名字"
"What's his name?","他叫什么名字"
"What's your teacher's name?","你的老师叫什么名字"
"Great","太好了"
"It's too cold","太冷了"
"It's too hot","太热了"
"It's too expensive","太贵了"
"Too much","太多了"
"It's time to go","该走了"
"It's time to study","该学习了"
"It's time to get up","该起床了"
"It's time to go to work","该上班了"
"It's time to have a meal","该吃饭了"
"This is my friend","这是我的朋友"
"This is my name card","这是我的名片"
"This is my Boss","这是我的老板"
"This is my colleague","这是我的同事"
"Are you tired?","你累吗"
"Are you hungry?","你饿吗"
"Are you thirsty?","你渴吗"
"Are you busy?","你忙吗"
"Are you tired?","你累不累"
"Are you hungry?","你饿不饿"
"Is Chinese difficult?","汉语难不难"
"Are you going there?","你去不去那里"
"Do you want water?","你要不要水"
"Do you want to watch a movie?","你要不要看电影"
"Do you play tennis?","你打不打网球"
"I am fine","我很好"
"I am happy","我很高兴"
"I am tired","我很累"
"I am hungry","我很饿"
"I am busy","我很忙"
"I'm a little tired","我有点累"
"I'm a little hungry","我有点饿"
"I'm a little busy","我有点忙"
"I'm going to China","我去中国"
"I'm going to Beijing","我去北京"
"I'm going to Tiananmen Square","我去天安门"
"I'm going to the Forbidden City","我去故宫"
"I eat dumplings","我吃饺子"
"I eat fried rice","我吃炒饭"
"I eat rice","我吃饭"
"I eat noodles","我吃面条"
"I drink beer","我喝啤酒"
"I drink red wine","我喝红酒"
"I drink tea","我喝茶"
"I drink coffee","我喝咖啡"
"I drink water","我喝水"
"I want to buy books","我要买书"
"I want to buy milk","我要买牛奶"
"I want to buy bread","我要买面包"
"I want to buy cups","我要买杯子"
"How much in total?","一共多少钱"
"How much is this?","这个多少钱"
"How much is that?","那个多少钱"
"How much is a catty of apples?","苹果多少钱一斤"
"How much is a cup of coffee?","咖啡多少钱一杯"
"Excuse me, where is the bank?","请问银行在哪"
"Excuse me, where is the hospital?","请问医院在哪"
"Excuse me, where is the library?","请问图书馆在哪"
"Excuse me, where is the subway station?","请问地铁站在哪"
"I'm going to class","我要上课了"
"I'm going home","我要回家了"
"I'm going to work","我要上班了"
"I'm going to the school","我要去学校了"
"Quite a lot","挺多的"
"Quite big","挺大的"
"Quite expensive","挺贵的"
"Quite good","挺好的"
"Quite far","挺远的"
"Wait a moment","等一下"
"Have a look","你看一下"
"Let me introduce","我介绍一下"
"Let me try","我试一下"
"How is your school?","你的学校怎么样"
"How is your job?","你的工作怎么样"
"How was your weekend?","你的周末怎么样"
"Do you have any Chinese friends?","你有没有中国朋友"
"Do you have a girlfriend?","你有没有女朋友"
"Do you have a boyfriend?","你有没有男朋友"
"Do you have siblings?","你有没有兄弟姐妹"
"I have apples","我有苹果"
"I have bread","我有面包"
"I have a younger sister","我有一个妹妹"
"I have a younger brother","我有一个弟弟"
"I don't have any books","我没有书"
"I don't have any cakes","我没有蛋糕"
"I don't have an elder brother","我没有哥哥"
"I don't have an elder sister","我没有姐姐"
"I want a portion of fried rice and also a bottle of beer","我要一份炒饭还要一瓶啤酒"
"I study Chinese and also study Spanish","我学习汉语还学习西班牙语"
"I want to buy beef and also want to buy apples","我要买牛肉还要买苹果"
"Please wait a moment","麻烦你等一下"
"Please give me a cup","麻烦你给我一个杯子"
"Please give me a plate","麻烦你给我一个盘子"
"Let's have lunch together, shall we?","我们中午一起吃饭好吗"
"Go to the movies on Saturday, okay?","星期六去看电影好吗"
"Let's go hiking on the weekend, shall we?","我们周末去爬山好吗"
"Let's meet at the entrance to the cinema, okay?","我们在电影院门口见面好吗"
"Do you want it cold or hot?","你要冰的还是热的"
"Do you drink tea or coffee?","你喝茶还是咖啡"
"Do you eat fried rice or noodles?","你吃炒饭还是面条"
"Is he Chinese or South Korean?","他是中国人还是韩国人"
"What day is it today?","今天星期几"
"What day is it tomorrow?","明天星期几"
"What day is it the day after tomorrow?","后天星期几"
"What time do you go to work?","你几点去上班"
"What time do you go to the school?","你几点去学校"
"What time do you have the meeting?","你几点开会"
"What time do you have class?","你几点上课"
"Is there a bank nearby?","附近有银行吗"
"Is there a hospital nearby?","附近有医院吗"
"Is there a bar nearby?","附近有酒吧吗"
"Is there a restroom nearby?","附近有卫生间吗"
"There is a gym near my house","我家附近有一个健身房"
"There is a hospital near my house","我家附近有一个医院"
"There is a supermarket near my house","我家附近有一个超市"
"How do I get to the bank?","银行怎么走"
"How do I get to the Forbidden City?","故宫怎么走"
"How do I get to the school?","学校怎么走"
"How to go to the Great Wall?","怎么去长城"
"How to go to the stadium?","怎么去体育馆"
"How to go there?","怎么去那里"
"I'll go by air","我坐飞机去"
"I'll go by taxi","我坐出租车去"
"I'll walk there","我走路去"
"I'll go by bike","我骑自行车去"
"I'll go by bus","我坐公交车去"
"What is your name?","你叫什么名字？"
"My name is Xiong Shuo.","我叫熊硕。"
"The 'Xiong' from panda and the 'Shuo' from master's degree.","熊猫的熊，硕士的说。"
"How old are you?","你多大了？"
"I am 35 years old this year.","我今年35岁。"
"What is your nationality?","你是哪国人？"
"I am Chinese.","我是中国人。"
"Where do you live now?","你现在住在哪里？"
"I live in Thailand now.","我现在住在泰国。"
"Do you like living there?","你喜欢住在那里吗？"
"I like living here very much.","我非常喜欢住在这里。"
"Do you have WeChat?","你有微信吗？"
"Yes, I do. Do you want to add me on WeChat?","我有啊，你要加我的微信吗？"
